country_code,count
US,10068
GB,1969
MX,317
JP,311
FR,808
CA,1927
HU,137
DE,726
NL,422
N/A,83
RS,91
NO,236
AR,345
MY,291
BG,203
DK,138
IN,2044
BE,134
TH,186
BR,918
RU,103
IQ,64
ES,463
AU,644
ZA,235
SE,324
TW,83
PT,393
FI,161
IS,37
MK,19
VN,247
JO,40
SA,114
PA,70
GR,192
RE,13
TR,232
BO,11
DM,1
CO,146
LV,37
ID,214
BA,20
OM,31
TN,62
NZ,98
LK,48
CH,116
BD,117
IE,57
RO,319
PK,165
AZ,19
AT,122
CN,85
CZ,112
DZ,90
PH,363
AE,196
LT,366
IT,379
HK,43
KW,30
BB,4
KR,119
PL,307
IL,148
DO,49
UA,173
EG,97
PE,54
SK,84
MU,15
CL,57
EC,39
PY,32
SG,91
EE,49
CW,11
VE,56
KE,39
NG,30
SI,68
JE,6
AW,5
KZ,18
QA,40
SR,4
SV,14
TT,32
NI,8
UZ,5
MQ,2
AL,16
HR,45
MZ,9
NP,91
MA,91
SC,1
BH,13
CR,20
LU,9
BS,2
CY,15
AM,4
MV,4
BY,7
PS,4
GT,11
JM,15
BW,3
MS,1
XK,19
MW,2
GU,8
LA,2
FO,2
GE,22
MT,3
TZ,8
MN,17
LY,21
PR,18
ME,2
BZ,3
LB,12
IR,30
CI,3
GH,6
HN,6
KH,14
ZM,2
CD,2
AO,2
UG,5
MD,14
NC,3
MM,3
GY,4
MG,3
UY,19
KY,1
BF,3
NA,4
BN,2
CU,3
SY,4
ZW,3
ET,2
GP,3
SN,2
KN,2
YT,1
TJ,4
CM,2
AF,2
LI,1
MO,1
GA,1
VI,1
